Issue Number, Title, Github URL, Labels, State, Milestone, Created At, Updated At, Reporter, Assignee, Body
189, "ESWAR_hyderabad- Diabetes analysis and risk calculation – Auto rebuild model by using Flask API - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/189, "Deep Tech", open, , 04/01/2020, 04/02/2020, Yaganteeswarudu940, suryaskillenza, 
188, "Pixel-FInger_Vein_Recognition-FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/188, "Fin Tech", open, , 04/01/2020, 04/02/2020, nikhilkhaneja, suryaskillenza, 
187, "Innovation - Automatic Highlights Generation from a Full Match Sports Video-  Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/187, "Deep Tech", open, , 04/01/2020, 04/02/2020, aravindpai, suryaskillenza, 
186, "HEXTER - Online Video Classes - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/186, "Ed Tech", open, , 04/01/2020, 04/02/2020, nipan09, suryaskillenza, 
185, "Reva_RACE-Covid_19-Social impact", https://github.com/skillenza-com/MishMash-India-2020/issues/185, "Social Impact", closed, , 04/01/2020, 04/02/2020, Taiba528, suryaskillenza, 
184, "Gravity - PROJECT NEWTON - SOCIAL IMPACT", https://github.com/skillenza-com/MishMash-India-2020/issues/184, "Social Impact", closed, , 04/01/2020, 04/02/2020, aravindh001, suryaskillenza, 
183, "BlueBottle - Neural Machine Translation for Indian Languages - Ed Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/183, "Ed Tech", open, , 04/01/2020, 04/02/2020, abirami92, , 
182, "ML_BUDDIES - Mishmash_Hackathon - Data Science POC Use Case", https://github.com/skillenza-com/MishMash-India-2020/issues/182, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, ekrizaledu, suryaskillenza, 
181, "Create java", https://github.com/skillenza-com/MishMash-India-2020/pull/181, "", open, , 04/01/2020, 04/01/2020, tejasrikusam, , 
180, "Create main", https://github.com/skillenza-com/MishMash-India-2020/pull/180, "", open, , 04/01/2020, 04/01/2020, tejasrikusam, , 
179, "HACKINFO - Payment - FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/179, "Fin Tech", open, , 04/01/2020, 04/02/2020, prasanthpalukuru, suryaskillenza, 
178, "Spinners - AI based Product Attribute Fillers - Deep Learning or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/178, "Deep Tech", open, , 04/01/2020, 04/02/2020, njaiganesh1994, suryaskillenza, 
177, "Peace_Penguins - Combat-Covid - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/177, "Social Impact", open, , 04/01/2020, 04/02/2020, srujandeshpande, suryaskillenza, 
176, "ICONIC - Unilever Data Science  POC Use Case - Deep Tech/ Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/176, "Deep Tech,Deep Tech Problem Statement - 3", open, , 04/01/2020, 04/02/2020, PradeepM18, suryaskillenza, 
175, "PLATINUM- DIGITAL SCHOOL - EDTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/175, "Ed Tech", open, , 04/01/2020, 04/02/2020, IreneMargherita, suryaskillenza, 
174, "Reva_RACE-Covid_19-Social impact", https://github.com/skillenza-com/MishMash-India-2020/issues/174, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", closed, , 04/01/2020, 04/01/2020, Taiba528, suryaskillenza, 
173, "MyTeamMita- Machine Learning - UNILEVER ", https://github.com/skillenza-com/MishMash-India-2020/issues/173, "Deep Tech", open, , 04/01/2020, 04/02/2020, MitaAcharya, suryaskillenza, 
172, "Eswar_Hyderabad - Diabetes analysis and risk calculation – Auto rebuild model by using Flask API - Machine learning", https://github.com/skillenza-com/MishMash-India-2020/issues/172, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", closed, , 04/01/2020, 04/02/2020, Yaganteeswarudu940, suryaskillenza, 
171, "ZestechInc - Humanoid using AI and ML - Humanoid", https://github.com/skillenza-com/MishMash-India-2020/issues/171, "Ed Tech", closed, , 04/01/2020, 04/02/2020, jayygroup, suryaskillenza, 
170, " Aboveandbeyond - Fake news detector - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/170, "Social Impact", open, , 04/01/2020, 04/02/2020, mayankchauhan96, suryaskillenza, 
169, "Patatap Project", https://github.com/skillenza-com/MishMash-India-2020/issues/169, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", open, , 04/01/2020, 04/01/2020, shubhamsingla807, suryaskillenza, 
168, "TEAM NAME - PROJECT NAME - THEME", https://github.com/skillenza-com/MishMash-India-2020/issues/168, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", closed, , 04/01/2020, 04/01/2020, shubhamsingla807, suryaskillenza, 
167, "GreatMindsAtWrk - MishmashhSalesPrediction- THEME1", https://github.com/skillenza-com/MishMash-India-2020/issues/167, "Deep Tech,Deep Tech Problem Statement - 1", open, , 04/01/2020, 04/02/2020, nikhildarade, suryaskillenza, 
166, "GreatMindsatWrk - MishmashhSalesPrediction - THEME1", https://github.com/skillenza-com/MishMash-India-2020/issues/166, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", closed, , 04/01/2020, 04/01/2020, nikhildarade, suryaskillenza, 
165, "Team_iam - Unilever_Data_Science_Poc - AR/VR", https://github.com/skillenza-com/MishMash-India-2020/issues/165, "AR/VR/XR", open, , 04/01/2020, 04/01/2020, SoumakMukherjee, suryaskillenza, 
164, "Fire_Ball - Deep Learning Model for Sales Forecast - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/164, "Deep Tech", open, , 03/31/2020, 04/01/2020, SumanthaPriestly, suryaskillenza, 
163, "Autocrats - Route Optimization - THEME-1 (Problem Statement 2 - Route Optimization and Visualization for Sales Vehicles -) ", https://github.com/skillenza-com/MishMash-India-2020/issues/163, "Deep Tech,Deep Tech Problem Statement - 2", open, , 03/31/2020, 04/01/2020, sourabhchougule, suryaskillenza, 
162, "InnovationTech : Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/162, "Social Impact", open, , 03/31/2020, 04/01/2020, pragya123878, , 
161, "NP_Complete - ARCOM - AR/VR/XR", https://github.com/skillenza-com/MishMash-India-2020/issues/161, "AR/VR/XR", open, , 03/31/2020, 04/02/2020, ChinmayVJ, suryaskillenza, 
160, "BAIOS BAY - COVIA - SOCIAL IMPACT", https://github.com/skillenza-com/MishMash-India-2020/issues/160, "Social Impact", open, , 03/31/2020, 04/01/2020, anshcena, suryaskillenza, 
159, "FLASH- EduWiz - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/159, "Ed Tech", open, , 03/31/2020, 04/02/2020, shweteekta, suryaskillenza, 
158, "Runtime Error - PROJECT NAME - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/158, "Social Impact", open, , 03/31/2020, 04/02/2020, RaghavAwasthi, suryaskillenza, 
157, "Elite - Fake News Detection on Social Media - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/157, "Ed Tech", open, , 03/31/2020, 04/02/2020, subhamsatpathy, suryaskillenza, 
156, "CEEKERS - intelliNotes - EDTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/156, "Ed Tech", open, , 03/31/2020, 04/02/2020, deepsidh9, suryaskillenza, 
155, "BROGRAMMERS - ERUDITIO - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/155, "Ed Tech", open, , 03/31/2020, 04/01/2020, ShrawanSai, suryaskillenza, 
154, "Akatsuki - EPTRAMS - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/154, "Social Impact", open, , 03/31/2020, 04/01/2020, 13point5, suryaskillenza, 
153, "RMS_TEAM - BHARAT-VIDYA-SAMACHAR - EDTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/153, "Ed Tech", open, , 03/31/2020, 04/01/2020, ravivemagiri, suryaskillenza, 
152, "Zerians - Expense Tracker - Fintech", https://github.com/skillenza-com/MishMash-India-2020/issues/152, "Fin Tech", open, , 03/31/2020, 04/01/2020, bhanu256, suryaskillenza, 
151, "Saviours - GoCorona - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/151, "Social Impact", open, , 03/31/2020, 04/01/2020, ashishbasantani, suryaskillenza, 
150, "Data_Wise - Sales Wise - Deep Tech or Machine Learning (Problem Statement 3)", https://github.com/skillenza-com/MishMash-India-2020/issues/150, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/01/2020, siddharth-gawai, suryaskillenza, 
149, "Team_iam - Unilever Data Science POC_Team_iam - AR/VR/XR", https://github.com/skillenza-com/MishMash-India-2020/issues/149, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", open, , 03/31/2020, 03/31/2020, SoumakMukherjee, suryaskillenza, 
148, "Team Katorthotis - Route Optimization and Visualization for Sales Vehicles - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/148, "Deep Tech,Deep Tech Problem Statement - 2", open, , 03/31/2020, 04/01/2020, Aastha-M, suryaskillenza, 
147, "Maven - Helping Hand - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/147, "Social Impact", closed, , 03/31/2020, 04/01/2020, vasu03042000, suryaskillenza, 
146, "Code Automator - ChemiFactors - Education", https://github.com/skillenza-com/MishMash-India-2020/issues/146, "Ed Tech", open, , 03/31/2020, 04/01/2020, RoyXlr8, suryaskillenza, 
145, "SHOONYA - Problem Statement 3 - Data Science POC Use Case - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/145, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/01/2020, ayushbansal323, suryaskillenza, 
144, "Dijkstra - Unilever Data Science POC Use Case - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/144, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/01/2020, Pranov1984, suryaskillenza, 
143, "Manifestors - AudienceAI - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/143, "Ed Tech", open, , 03/31/2020, 04/01/2020, reallyinvincible, suryaskillenza, 
142, "DeepDive - Unilever POC Use Case - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/142, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/02/2020, Deepakhc26, suryaskillenza, 
141, "SanSum -  Machine learning led Data quality assurance - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/141, "Deep Tech", open, , 03/31/2020, 04/01/2020, pritam5305, suryaskillenza, 
140, "Netra - Infinity - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/140, "Ed Tech", closed, , 03/31/2020, 04/01/2020, L2kshmi, suryaskillenza, 
139, "PICKLEDUO - VIRTUAL MISSION CONTROL ROOM - XR", https://github.com/skillenza-com/MishMash-India-2020/issues/139, "AR/VR/XR", open, , 03/31/2020, 04/02/2020, prakashpandi, suryaskillenza, 
138, "ProTeam - Corona Epidemic Management System - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/138, "Social Impact", closed, , 03/31/2020, 04/01/2020, shivani1010, suryaskillenza, 
137, "BARNSWALLOWAI - MISHMASH - DEEP TECH/MACHINE LEARNING", https://github.com/skillenza-com/MishMash-India-2020/issues/137, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/01/2020, Shabir1386, suryaskillenza, 
136, "3_Idiots - Problem Statement 3 - Data Science POC Use Case", https://github.com/skillenza-com/MishMash-India-2020/issues/136, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/03/2020, bantiumath, suryaskillenza, 
135, "TechCratz - Multivariate Sales Prediction - DeepTech/ML (Data Science POC Use Case)", https://github.com/skillenza-com/MishMash-India-2020/issues/135, "Deep Tech,Deep Tech Problem Statement - 3", closed, , 03/31/2020, 04/11/2020, edwinforedwin, suryaskillenza, 
134, "DataRenaissance - Unilever Data Science POC Use Case - TH Deep Tech/Machine Learning Theme EME", https://github.com/skillenza-com/MishMash-India-2020/issues/134, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/01/2020, gauravkantrod, suryaskillenza, 
133, "Nomads - Strongcomms - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/133, "Social Impact", open, , 03/31/2020, 04/01/2020, amanagr, suryaskillenza, 
132, "FLUTTER_CREATE - NIVEDAN -SOCIAL IMPACT", https://github.com/skillenza-com/MishMash-India-2020/issues/132, "Social Impact", open, , 03/31/2020, 04/01/2020, ayush221b, suryaskillenza, 
131, "Team_Recursion- Indoor Navigation System - AR/VR/XR-Urban", https://github.com/skillenza-com/MishMash-India-2020/issues/131, "AR/VR/XR", open, , 03/31/2020, 04/01/2020, VedantKhairnar, suryaskillenza, 
130, "Meraki - Deep Tech/Machine Learning - Route Optimization", https://github.com/skillenza-com/MishMash-India-2020/issues/130, "Deep Tech,Deep Tech Problem Statement - 2", open, , 03/31/2020, 04/01/2020, kshitija-surange, , 
129, "UchihaOfKonaha - Epid Fight - AR/ VR/ Xr", https://github.com/skillenza-com/MishMash-India-2020/issues/129, "AR/VR/XR", open, , 03/31/2020, 04/01/2020, aegon47, suryaskillenza, 
128, "UNPAID_INTERNS - DALP - EDTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/128, "Ed Tech", open, , 03/31/2020, 04/01/2020, bhumijgupta, suryaskillenza, 
127, "Kuber - Kuber - FinTech ", https://github.com/skillenza-com/MishMash-India-2020/issues/127, "Fin Tech", open, , 03/31/2020, 04/01/2020, swaraj1802, suryaskillenza, 
126, "Disrupter- TecHelper - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/126, "Social Impact", open, , 03/31/2020, 04/01/2020, deveshchatuphale7, suryaskillenza, 
125, "InnovationTech_Social", https://github.com/skillenza-com/MishMash-India-2020/issues/125, "", closed, , 03/31/2020, 03/31/2020, pragya123878, , 
124, "Peace_Penguins - Combat-Covid - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/124, "Ed Tech", closed, , 03/31/2020, 04/01/2020, srujandeshpande, suryaskillenza, 
123, "DedSec - VScribe - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/123, "Ed Tech", open, , 03/31/2020, 04/01/2020, irteqa23ahmed, suryaskillenza, 
122, "Brown_Boys - Old Skool Analytics - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/122, "Ed Tech", open, , 03/31/2020, 04/01/2020, ManmeetSethi, suryaskillenza, 
121, "Radhika - RouteOptimization - Deep Tech or Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/121, "Deep Tech,Deep Tech Problem Statement - 2", open, , 03/31/2020, 04/02/2020, Radhika-Reddirouthu, suryaskillenza, 
120, "Lannisters - Smart Waste Control - MOBILITY", https://github.com/skillenza-com/MishMash-India-2020/issues/120, "Mobility", open, , 03/31/2020, 04/01/2020, Tarun9005, suryaskillenza, 
119, "Midopolarysis- Aiden - XR / Mobility / FinTech/ Deep Tech or Machine Learning / Ed-Tech / Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/119, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", open, , 03/31/2020, 03/31/2020, midopooler, suryaskillenza, 
118, "TITANS - COVID-19 X-Ray Detector - Deep Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/118, "Deep Tech", open, , 03/31/2020, 04/01/2020, chiragsamal, suryaskillenza, 
117, "Algo_Souls - Unilever Data Science POC Use Case - Deep Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/117, "Deep Tech,Deep Tech Problem Statement - 3", closed, , 03/31/2020, 04/01/2020, BhushanDA, suryaskillenza, 
116, "===", https://github.com/skillenza-com/MishMash-India-2020/issues/116, "Fin Tech", open, , 03/31/2020, 04/05/2020, monkeydsandy, suryaskillenza, 
115, "Smash - Smart Quizzer - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/115, "Ed Tech", open, , 03/31/2020, 04/01/2020, msvdpriya, suryaskillenza, 
114, "'Class'Apart - SARS CoV-2 / COVID-19 Prediction Using Corona Virus Genome Sequence - Theme - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/114, "Social Impact", open, , 03/31/2020, 04/01/2020, AnubhavMishra22, suryaskillenza, 
113, "RunTimeTerror - GoCoronaGo - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/113, "Social Impact", open, , 03/31/2020, 04/01/2020, HeyIts-RJ, suryaskillenza, 
112, "genericexchange - national-simulated-exchange - fintech", https://github.com/skillenza-com/MishMash-India-2020/issues/112, "Fin Tech", open, , 03/31/2020, 04/01/2020, imnotaqtpie, suryaskillenza, 
111, "SaTan - Tourism Application using AR - URBAN(AR)", https://github.com/skillenza-com/MishMash-India-2020/issues/111, "AR/VR/XR", open, , 03/31/2020, 04/01/2020, sarthakag, suryaskillenza, 
110, "Dumb_Terminals - EQ Forecast - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/110, "Deep Tech", closed, , 03/31/2020, 04/13/2020, G-Slient, suryaskillenza, 
109, "TEAM NAME: PLATINUM - PROJECT NAME: DIGITALSCHOOL - THEME: EDTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/109, "Ed Tech", open, , 03/31/2020, 04/01/2020, IreneMargherita, suryaskillenza, 
108, "Team_Syaamantak - Cognitive_Information_Retrieval_of_Educational_Textdata  - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/108, "Ed Tech", open, , 03/31/2020, 04/01/2020, SyaamantakDas, suryaskillenza, 
107, "Dont consider", https://github.com/skillenza-com/MishMash-India-2020/issues/107, "AR/VR/XR,Deep Tech,Ed Tech,Fin Tech,Mobility,Social Impact", closed, , 03/31/2020, 04/02/2020, monkeydsandy, suryaskillenza, 
106, "MishMash - ML_QA -Problem Statement 1_Machine learning led Data quality assurance", https://github.com/skillenza-com/MishMash-India-2020/issues/106, "Deep Tech,Deep Tech Problem Statement - 1", open, , 03/31/2020, 04/01/2020, tc-ted, , 
105, "DumBo - Chappy - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/105, "Ed Tech", open, , 03/31/2020, 04/01/2020, rtbins, suryaskillenza, 
104, "AlphaHack - covid-detector -  Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/104, "Deep Tech", open, , 03/31/2020, 04/01/2020, bomila, suryaskillenza, 
103, "TEAM JUPYTER-WARNING SYSTEM IN CARS(ADAS)-MOBILITY", https://github.com/skillenza-com/MishMash-India-2020/issues/103, "Mobility", open, , 03/31/2020, 04/01/2020, Sahajj16, suryaskillenza, 
102, "HACKBITS - SIMPLIFICATION OF E-KYC PROCESS - FINTECH", https://github.com/skillenza-com/MishMash-India-2020/issues/102, "Fin Tech", open, , 03/31/2020, 04/01/2020, akshsinghal, suryaskillenza, 
101, "TeamMishMash - Data Science POC Use Case - Machine Learning Problem Statement - 3", https://github.com/skillenza-com/MishMash-India-2020/issues/101, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, shashitripurari, suryaskillenza, 
100, "AkAdi - Deep Tech/Machine Learning - Problem Statement 3 - Data Science POC Use Case", https://github.com/skillenza-com/MishMash-India-2020/issues/100, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 04/02/2020, AkAdi6896, suryaskillenza, 
99, "Chintu_Mintu - GoCorona - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/99, "Social Impact", open, , 03/31/2020, 03/31/2020, raghavaggarwal99, suryaskillenza, 
98, "ARImageDocs - ARImageDocs - AR", https://github.com/skillenza-com/MishMash-India-2020/issues/98, "AR/VR/XR", open, , 03/31/2020, 04/02/2020, prasoonmayank, suryaskillenza, 
97, "Anurag_Sanjana - INTELLIGENT TRAFFIC MANAGEMENT - MOBILITY", https://github.com/skillenza-com/MishMash-India-2020/issues/97, "", open, , 03/31/2020, 04/04/2020, anuraged51a, , 
96, "Dark Angels - Unilever Data Science POC Use Case (Problem Statement Number 3) - THEME 1 Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/96, "Deep Tech,Deep Tech Problem Statement - 3", closed, , 03/31/2020, 04/03/2020, chakravarthi96, suryaskillenza, 
95, "LazarusNetwork - LazarusNetwork - EdTech", https://github.com/skillenza-com/MishMash-India-2020/issues/95, "Ed Tech", open, , 03/31/2020, 03/31/2020, Shachindra, suryaskillenza, 
94, "Bits_Please - PROJECT NAME - Ed-Tech", https://github.com/skillenza-com/MishMash-India-2020/issues/94, "Ed Tech", open, , 03/31/2020, 03/31/2020, rush17m, suryaskillenza, 
93, "CMIites - Drivers of Sales and Sales prediction - DeepTech/ML Problem Statement-3", https://github.com/skillenza-com/MishMash-India-2020/issues/93, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, mdave96, suryaskillenza, 
92, "Team_Alpha - Social-COVID-19 - Social Impact", https://github.com/skillenza-com/MishMash-India-2020/issues/92, "Social Impact", open, , 03/31/2020, 03/31/2020, vivekgupta-msrit, suryaskillenza, 
91, "__init__iators - INTELLIGENT MANNEQUIN - FASHION INDUSTRY", https://github.com/skillenza-com/MishMash-India-2020/issues/91, "Ed Tech", open, , 03/31/2020, 03/31/2020, desaidhruv, suryaskillenza, 
90, "UnderScore - ARchmate - AR/VR/XR - Urban", https://github.com/skillenza-com/MishMash-India-2020/issues/90, "AR/VR/XR", closed, , 03/31/2020, 04/06/2020, dheerajtibrewal, suryaskillenza, 
89, "Lemon - Co9hotspots - AR/VR/XR", https://github.com/skillenza-com/MishMash-India-2020/issues/89, "AR/VR/XR", open, , 03/31/2020, 03/31/2020, abhi19992, , 
88, "Team_Akash- Problem statement 3 POC Use Case-  Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/88, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, akash600, suryaskillenza, 
87, "MoneySense", https://github.com/skillenza-com/MishMash-India-2020/issues/87, "", closed, , 03/31/2020, 04/02/2020, monkeydsandy, , 
86, "Machine_Tutors - Automatic Ledger and Payment Codes - FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/86, "Fin Tech", open, , 03/31/2020, 03/31/2020, MukulSingh105, suryaskillenza, 
85, "AMAZE - SALES PREDICTION - DEEP TECH/MACHINE LEARNING", https://github.com/skillenza-com/MishMash-India-2020/issues/85, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, Sakthi1294, suryaskillenza, 
84, "Data_Deciphers - Unilever Sales EQ Data Science POC Use Case - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/84, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, Ashutosh27ind, suryaskillenza, 
83, "Data_Lab - Problem Statement 3 - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/83, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, mukti92, suryaskillenza, 
82, "Bizzaro - Data Science POC Use Case - Deep Tech/Machine Learning", https://github.com/skillenza-com/MishMash-India-2020/issues/82, "Deep Tech,Deep Tech Problem Statement - 3", open, , 03/31/2020, 03/31/2020, dangkunal, suryaskillenza, 
81, "Stallion - Cashier - FinTech", https://github.com/skillenza-com/MishMash-India-2020/issues/81, "Fin Tech", open, , 03/31/2020, 03/31/2020, Statowfiq, suryaskillenza, 
80, "RASMALAI - SMART VIEW MIRROR - XR", https://github.com/skillenza-com/MishMash-India-2020/issues/80, "AR/VR/XR", open, , 03/31/2020, 03/31/2020, PrinceP, suryaskillenza, 
