serial_number,time_stamp,Sector 1,Sector 2,Sector 3,Sector 4
114,2015-10-02,1164.34,564.98,2091.02,1235.71
115,2015-10-01,1157.28,567.09,2088.99,1211.6801
116,2015-09-30,1157.28,567.09,2088.99,1211.6801
117,2015-09-29,1158.01,567.09,2090.27,1211.6801
118,2015-09-28,1173.2,567.09,2090.27,1273.46
119,2015-09-25,1173.2,567.09,2090.27,1273.46
120,2015-09-24,1174.04,567.09,2090.27,1276.89
121,2015-09-23,1169.21,567.09,2090.6799,1256.3
122,2015-09-22,1181.85,567.09,2092.1399,1304.35
123,2015-09-21,1186.5699,582,2092.1399,1311.21
124,2015-09-18,1191.63,582,2092.1399,1331.8101
125,2015-09-17,1195.4,583.93,2092.1399,1345.54
126,2015-09-16,1198.77,581.32,2092.1399,1359.26
127,2015-09-15,1199.61,581.32,2092.1399,1362.7
128,2015-09-14,1200.1899,568.02,2092.1399,1376.42
129,2015-09-11,1191.9399,568.01,2077.5901,1376.42
130,2015-09-10,1193.92,568.02,2079.6001,1379.86
131,2015-09-09,1203.49,568.02,2096.47,1379.86
132,2015-09-08,1202.16,540.68,2096.47,1397.02
133,2015-09-07,1201.3199,540.68,2096.47,1393.58
134,2015-09-04,1199.6,563.05,2085.4399,1393.58
135,2015-09-03,1201.29,563.05,2085.4399,1400.45
136,2015-09-02,1203.48,565.53,2085.4399,1407.3101
137,2015-09-01,1209.26,565.53,2097.1201,1403.88
138,2015-08-31,1213.4301,568.02,2099.1101,1414.1801
139,2015-08-28,1212.58,568.02,2099.1101,1410.75
140,2015-08-27,1211.74,568.02,2099.1101,1407.3101
141,2015-08-26,1213.4301,568.02,2099.1101,1414.1801
142,2015-08-25,1216.62,568.02,2100.28,1424.47
143,2015-08-24,1216.62,568.02,2100.28,1424.47
144,2015-08-21,1215.78,568.02,2100.28,1421.04
145,2015-08-20,1218.34,568.02,2097.3701,1438.2
146,2015-08-19,1220.7,575.47,2097.3701,1441.63
147,2015-08-18,1222.6801,577.58,2099.3601,1445.0699
148,2015-08-17,1226.9,577.58,2099.3601,1462.23
149,2015-08-14,1226.5699,577.58,2098.78,1462.23
150,2015-08-13,1226.5699,577.58,2098.78,1462.23
151,2015-08-12,1227.0601,577.58,2099.6599,1462.23
152,2015-08-11,1229.59,577.58,2099.6599,1472.52
153,2015-08-07,1232.97,577.58,2099.6599,1486.25
154,2015-08-06,1225.1801,577.58,2099.6599,1454.5699
155,2015-08-05,1227.9399,577.58,2101.6499,1461.17
156,2015-08-04,1216.8,586.41,2078.8601,1461.17
157,2015-08-03,1219.23,586.41,2078.8601,1471.0699
158,2015-07-31,1219.26,586.41,2081.78,1464.47
159,2015-07-30,1216.7,572.61,2079.3301,1471.0699
160,2015-07-29,1219.8199,581.49,2081.6599,1471.0699
161,2015-07-28,1217.6899,581.49,2079.3301,1467.77
162,2015-07-27,1222.09,581.49,2085.6499,1471.0699
163,2015-07-24,1222.09,581.49,2085.6499,1471.0699
164,2015-07-23,1218.2,581.49,2081.6599,1464.47
165,2015-07-22,1219.8199,581.49,2081.6599,1471.0699
166,2015-07-21,1219.8199,581.49,2081.6599,1471.0699
167,2015-07-20,1222.28,588.95,2083.3201,1471.0699
168,2015-07-17,1221,588.95,2079.3301,1471.0699
169,2015-07-16,1220.8101,588.95,2078.97,1471.0699
170,2015-07-15,1221.63,588.95,2078.97,1474.3
171,2015-07-14,1220.8101,588.95,2078.97,1471.0699
172,2015-07-13,1223.28,588.95,2078.97,1480.75
173,2015-07-10,1221.63,588.95,2078.97,1474.3
174,2015-07-09,1220.8101,588.95,2078.97,1471.0699
175,2015-07-08,1223.28,588.95,2078.97,1480.75
176,2015-07-06,1221.95,586.74,2078.9099,1477.52
177,2015-07-03,1220.3,586.74,2078.9099,1471.0699
178,2015-07-02,1219.48,584.59,2078.9099,1467.85
179,2015-07-01,1219.48,584.59,2078.9099,1467.85
180,2015-06-30,1221.12,584.59,2078.9099,1474.3
181,2015-06-29,1221.95,586.74,2078.9099,1477.52
182,2015-06-26,1221.92,586.74,2078.8401,1477.52
183,2015-06-25,1222.74,586.74,2078.8401,1484.75
184,2015-06-24,1222.74,586.74,2078.8401,1484.75
185,2015-06-23,1222.74,586.74,2078.8401,1484.75
186,2015-06-22,1221.3101,580.14,2078.8401,1484.75
187,2015-06-19,1218.05,580.14,2072.74,1484.75
188,2015-06-18,1216.74,580.14,2071.8301,1481.53
189,2015-06-17,1221.6801,580.14,2071.8301,1500.88
190,2015-06-16,1222.4399,580.14,2077.8701,1491.2
191,2015-06-15,1224.91,580.14,2077.8701,1500.88
192,2015-06-12,1225.23,580.14,2081.54,1494.4301
193,2015-06-11,1222.75,580.14,2081.54,1484.75
194,2015-06-10,1225.7,582.34,2081.54,1494.4301
195,2015-06-09,1224.12,582.34,2075.49,1500.88
196,2015-06-08,1228.72,582.34,2084.1001,1500.88
197,2015-06-05,1228.72,582.34,2084.1001,1500.88
198,2015-06-04,1224.6,582.34,2084.1001,1484.75
199,2015-06-03,1228.72,582.34,2084.1001,1500.88
200,2015-06-02,1225.83,595.09,2072.01,1504.1
201,2015-06-01,1226.03,592.2,2072.01,1507.33
202,2015-05-29,1236.36,598.67,2084.1001,1517.26
203,2015-05-28,1231.85,598.67,2083.3701,1501.13
204,2015-05-27,1228.5601,598.67,2083.3701,1488.23
205,2015-05-26,1226.52,598.67,2057.98,1533.38
206,2015-05-25,1222.4,598.67,2057.98,1517.26
207,2015-05-22,1235.97,598.67,2083.3701,1517.26
208,2015-05-21,1222.28,598.67,2056.23,1520.48
209,2015-05-20,1227.23,598.67,2056.23,1539.83
210,2015-05-19,1223.15,598.67,2054.77,1526.9301
211,2015-05-18,1224.8,598.67,2054.77,1533.38
212,2015-05-15,1224.8,598.67,2054.77,1533.38
213,2015-05-14,1227.27,598.67,2054.77,1543.0601
214,2015-05-13,1232.1801,598.67,2054.71,1562.41
215,2015-05-12,1233,598.67,2054.71,1565.63
216,2015-05-11,1233,598.67,2054.71,1565.63
217,2015-05-08,1233.83,598.67,2054.71,1568.86
218,2015-05-07,1233.76,594.53,2054.71,1572.08
219,2015-05-06,1233.76,594.53,2054.71,1572.08
220,2015-05-05,1233.76,594.53,2054.71,1572.08
221,2015-05-04,1238.53,609,2054.71,1578.53
222,2015-04-30,1238.53,609,2054.71,1578.53
223,2015-04-29,1239.98,609,2054.3401,1584.98
224,2015-04-28,1240.8,609,2054.3401,1588.21
225,2015-04-27,1241.71,604.86,2056.1699,1591.4301
226,2015-04-24,1248.34,609,2056.1101,1614.01
227,2015-04-23,1244.22,609,2056.1101,1597.88
228,2015-04-22,1245.87,609,2056.1101,1604.33
229,2015-04-21,1248.08,609,2055.6299,1614.01
230,2015-04-20,1246.4399,609,2055.6299,1607.5601
231,2015-04-17,1248.08,609,2055.6299,1614.01
232,2015-04-16,1249.73,609,2055.6299,1620.46
233,2015-04-15,1251.38,609,2055.6299,1626.91
234,2015-04-14,1251.38,609,2055.6299,1626.91
235,2015-04-13,1253.0601,609,2055.6899,1633.36
236,2015-04-10,1252.2,609,2055.6299,1630.14
237,2015-04-09,1255.5,609,2055.6299,1643.04
238,2015-04-08,1252.2,609.43,2055.6299,1630.14
239,2015-04-07,1255.51,609.43,2054.1101,1646.26
240,2015-04-06,1263.75,609.43,2054.1101,1678.51
241,2015-04-02,1255.51,609.43,2054.1101,1646.26
242,2015-04-01,1176.01,609.43,2051.0901,1341.4
243,2015-03-31,1252.99,609.43,2051.0901,1642.73
244,2015-03-30,1252.99,609.43,2051.0901,1642.73
245,2015-03-27,1218.71,609.43,2051.0901,1508.55
246,2015-03-26,1222.83,602.97,2051.0901,1529.73
247,2015-03-25,1221.6,611.25,2051.0901,1517.96
248,2015-03-24,1217.41,605.75,2051.0901,1506.1899
249,2015-03-23,1215,606.18,2051.0901,1496.77
250,2015-03-20,1214.83,600.67,2054.1101,1494.42
251,2015-03-19,1214.83,600.67,2054.1101,1494.42
252,2015-03-18,1215.4301,600.67,2054.1101,1496.77
253,2015-03-17,1213.9399,596.53,2054.1101,1494.42
254,2015-03-16,1211.88,596.53,2049.1399,1496.77
255,2015-03-13,1211.28,596.53,2049.1399,1494.42
256,2015-03-12,1209.27,596.53,2049.1399,1487.36
257,2015-03-11,1208.87,596.1,2049.1399,1485
258,2015-03-10,1207.29,596.1,2047.3101,1482.65
259,2015-03-09,1210.3,596.1,2047.3101,1494.42
260,2015-03-06,1207.76,598.25,2047.3101,1482.65
261,2015-03-05,1210.3,596.1,2047.3101,1494.42
262,2015-03-04,1208.73,596.1,2044.38,1494.42
263,2015-03-03,1205.72,596.1,2044.38,1482.65
264,2015-03-02,1211.28,540.21,2047.95,1494.42
265,2015-02-27,1206.33,540.21,2044.72,1482.41
266,2015-02-26,1204.73,536.5,2044.72,1480
267,2015-02-25,1205.35,536.5,2044.72,1482.41
268,2015-02-24,1205.35,536.5,2044.72,1482.41
269,2015-02-23,1209.0601,552.84,2044.72,1480
270,2015-02-20,1208.45,552.84,2044.72,1477.6
271,2015-02-19,1209.6801,552.84,2044.72,1482.41
272,2015-02-18,1212.75,552.84,2044.72,1494.42
273,2015-02-13,1208.45,552.84,2044.72,1477.6
274,2015-02-12,1208.45,552.84,2044.72,1477.6
275,2015-02-11,1208.45,552.84,2044.72,1477.6
276,2015-02-10,1205.35,552.84,2038.33,1480
277,2015-02-09,1209.03,552.84,2038.33,1494.42
278,2015-02-06,1205.96,552.84,2038.33,1482.41
279,2015-02-05,1205.96,552.84,2038.33,1482.41
280,2015-02-04,1203.73,552.84,2034.5,1482.41
281,2015-02-03,1201.37,543.92,2034.5,1482.41
282,2015-02-02,1200.78,534.74,2034.5,1489.62
283,2015-01-30,1199.55,534.74,2034.5,1484.8101
284,2015-01-29,1201.6899,545.14,2034.5,1482.41
285,2015-01-28,1205.01,541.43,2034.5,1499.23
286,2015-01-27,1203.74,541.43,2034.4301,1494.42
287,2015-01-26,1210.62,554.32,2038.27,1499.23
288,2015-01-23,1208.12,554.32,2036.08,1494.42
289,2015-01-22,1209.61,554.32,2038.64,1494.42
290,2015-01-21,1206.71,554.32,2031.54,1499.23
291,2015-01-20,1206.99,554.32,2033.0699,1496.8199
292,2015-01-19,1209.9,554.32,2039.15,1494.42
293,2015-01-16,1209.9,554.32,2039.15,1494.42
294,2015-01-15,1213.66,566.21,2039.15,1496.8199
295,2015-01-14,1214.78,565.78,2039.15,1501.63
296,2015-01-13,1215.27,566.21,2039.79,1501.63
297,2015-01-12,1215.27,566.21,2039.79,1501.63
298,2015-01-09,1214.65,566.21,2039.79,1499.23
299,2015-01-08,1214.65,566.21,2039.79,1499.23
300,2015-01-07,1214.65,566.21,2039.79,1499.23
301,2015-01-06,1218.65,566.21,2045.6,1501.63
302,2015-01-05,1218.65,566.21,2045.6,1501.63
303,2014-12-30,1219.26,566.21,2045.6,1504.03
304,2014-12-29,1206.21,577.35,2019.12,1501.63
305,2014-12-24,1205.8199,575.87,2019.12,1501.63
306,2014-12-23,1217.28,562.5,2044.95,1501.63
307,2014-12-22,1216.86,563.24,2044.95,1499.23
308,2014-12-19,1220.52,581.81,2041.72,1501.63
309,2014-12-18,1219.35,581.81,2038.65,1504.03
310,2014-12-17,1219.35,581.81,2038.65,1504.03
311,2014-12-16,1212.14,581.81,2026.24,1504.03
312,2014-12-15,1212.76,581.81,2026.24,1506.4301
313,2014-12-12,1211.53,581.81,2026.24,1501.63
314,2014-12-11,1214.54,581.81,2029.3101,1506.4301
315,2014-12-10,1213.92,581.81,2029.3101,1504.03
316,2014-12-09,1208.9301,581.81,2020.71,1504.03
317,2014-12-08,1206.67,581.81,2016.83,1504.03
318,2014-12-05,1210.42,581.841,2032.23,1504.03
319,2014-12-04,1213.54,581.81,2028.65,1504.03
320,2014-12-03,1214.16,581.81,2028.65,1506.4301
321,2014-12-02,1213.54,581.81,2028.65,1504.03
322,2014-12-01,1214.16,581.81,2028.65,1506.4301
323,2014-11-28,1213.54,581.81,2028.65,1504.03
324,2014-11-27,1213.54,581.81,2028.65,1504.03
325,2014-11-26,1208.55,581.81,2020.0601,1504.03
326,2014-11-25,1208.55,581.81,2020.0601,1504.03
327,2014-11-24,1210.42,581.81,1905.04,1504.03
328,2014-11-21,1213.1,581.81,1909.64,1504.03
329,2014-11-20,1212.16,581.81,1908.02,1504.03
330,2014-11-19,1212.16,581.81,1908.02,1504.03
331,2014-11-18,1211.55,581.81,1908.02,1501.63
332,2014-11-17,1212.16,581.81,1908.02,1504.03
333,2014-11-14,1211.55,581.81,1908.02,1501.63
334,2014-11-13,1210.9301,581.81,1908.02,1499.23
335,2014-11-12,1208.77,581.81,1903.25,1501.63
336,2014-11-11,1212.46,600.38,1903.25,1496.8199
337,2014-11-10,1211.85,600.38,1903.1801,1494.42
338,2014-11-07,1212.42,600.38,1903.1801,1496.8199
339,2014-11-06,1201.97,563.24,1903.1801,1494.42
340,2014-11-05,1200.88,566.21,1899.95,1494.42
341,2014-11-04,1198.3101,566.21,1897.65,1489.62
342,2014-10-31,1199.54,566.21,1897.65,1494.42
343,2014-10-30,1198.58,569.93,1895.35,1492.02
344,2014-10-29,1198.02,569.93,1896.5,1487.21
345,2014-10-28,1198.02,569.93,1896.5,1487.21
346,2014-10-27,1199.61,573.64,1896.5,1489.62
347,2014-10-24,1200.84,573.64,1896.5,1494.42
348,2014-10-23,1199.61,573.64,1896.5,1489.62
349,2014-10-22,1202.23,573.64,1898.61,1492.02
350,2014-10-21,1201.62,573.64,1898.61,1489.62
351,2014-10-20,1199.74,573.64,1895.38,1489.62
352,2014-10-17,1199.74,573.64,1895.38,1489.62
353,2014-10-16,1198.23,567.08,1895.77,1489.62
354,2014-10-15,1195.91,565.05,1892.7,1489.62
355,2014-10-14,1196.52,565.05,1892.7,1492.02
356,2014-10-13,1195.09,559.65,1892.7,1492.02
357,2014-10-09,1194.78,559.65,1892.15,1492.02
358,2014-10-08,1195.3101,561.68,1892.15,1492.02
359,2014-10-07,1195.9301,561.68,1892.15,1494.42
360,2014-10-06,1190.23,560.19,1884.08,1492.02
361,2014-10-03,1192.58,566.75,1884.08,1494.42
362,2014-10-02,1192.58,566.75,1884.08,1494.42
363,2014-10-01,1193.8101,566.75,1884.08,1499.23
364,2014-09-30,1194.86,566.75,1889.0601,1492.02
365,2014-09-29,1190.09,566.75,1880.85,1492.02
366,2014-09-26,1189.4301,566.75,1878.65,1494.42
367,2014-09-25,1188.86,566.75,1877.6801,1494.42
368,2014-09-24,1189.09,566.75,1878.0699,1494.42
369,2014-09-23,1188.47,566.75,1878.0699,1492.02
370,2014-09-22,1187.8,566.75,1876.92,1492.02
371,2014-09-19,1188.03,566.75,1877.3,1492.02
372,2014-09-18,1188.75,566.75,1877.3,1494.42
373,2014-09-17,1198.75,580.12,1888.61,1494.42
374,2014-09-16,1199.33,580.12,1888.54,1496.8199
375,2014-09-15,1199.9399,580.12,1888.54,1499.23
376,2014-09-12,1199.9399,580.12,1888.54,1499.23
377,2014-09-11,1199.33,580.12,1888.54,1496
378,2014-09-10,1192.72,580.12,1877.17,1496.8199
379,2014-09-09,1193.34,580.12,1877.17,1499.23
380,2014-09-08,1192.11,580.12,1877.17,1494.42
381,2014-09-05,1193.34,580.12,1877.17,1499.23
382,2014-09-04,1192.72,580.12,1877.17,1496.8199
383,2014-09-03,1192.26,580.12,1877.8199,1496.8199
384,2014-09-02,1190.26,569.39,1877.8199,1496.8199
385,2014-09-01,1188.3,569.39,1875.52,1494.42
386,2014-08-29,1188.54,569.39,1874.87,1496.8199
387,2014-08-28,1181.86,569.39,1863.37,1496.8199
388,2014-08-27,1183.2,569.39,1865.67,1496.8199
389,2014-08-26,1183.8101,569.39,1865.67,1499.23
390,2014-08-25,1183.2,569.39,1865.67,1496.8199
391,2014-08-22,1183.2,569.39,1865.67,1496.8199
392,2014-08-21,1182.86,569.39,1865.67,1494.42
393,2014-08-20,1181.86,569.39,1864.71,1496.8199
394,2014-08-19,1186.1899,585.74,1864.71,1496.8199
395,2014-08-18,1186.1899,585.74,1864.71,1496.8199
396,2014-08-15,1189.04,596.47,1864.71,1496.8199
397,2014-08-14,1189.76,596.47,1867.01,1494.42
398,2014-08-13,1189.76,596.47,1867.01,1494.42
399,2014-08-12,1190.03,596.47,1868.55,1492.02
400,2014-08-11,1189.76,596.47,1867.01,1494.42
401,2014-08-08,1192.8,613.01,1864.71,1494.42
402,2014-08-07,1191.58,613.01,1864.71,1489.62
403,2014-08-06,1191.58,613.01,1864.71,1489.62
404,2014-08-05,1192.3,613.01,1867.01,1487.21
405,2014-08-04,1193.22,621.12,1867.01,1482.41
406,2014-08-01,1192.99,621.12,1866.63,1482.41
407,2014-07-31,1190.5,621.12,1863.4,1480
408,2014-07-30,1195.42,639.7,1862.73,1480
409,2014-07-29,1193.7,639.7,1860.8101,1477.6
410,2014-07-28,1193.08,639.7,1860.8101,1475.2
411,2014-07-25,1193.7,639.7,1860.8101,1477.6
412,2014-07-24,1193.7,639.7,1860.8101,1477.6
413,2014-07-23,1192.8101,631.59,1864.04,1475.2
414,2014-07-22,1194.7,639.7,1864.65,1472.8
415,2014-07-21,1192.42,641.84,1860.8101,1470.39
416,2014-07-18,1192.42,641.84,1860.8101,1470.39
417,2014-07-17,1188.08,641.84,1851.8101,1470.39
418,2014-07-16,1188.83,641.84,1853.3,1470.39
419,2014-07-15,1188.08,641.84,1851.74,1470.39
420,2014-07-14,1187.37,641.84,1851.74,1467.95
421,2014-07-11,1186.65,641.84,1851.74,1465.51
422,2014-07-10,1186.65,641.84,1851.74,1465.51
423,2014-07-09,1187.9399,641.84,1855.89,1463.0601
424,2014-07-08,1177.25,596.75,1855.48,1463.0601
425,2014-07-07,1175.8199,596.75,1855.48,1458.17
426,2014-07-04,1175.1,596.75,1855.48,1458.17
427,2014-07-03,1186.3101,641.84,1855.48,1458.17
428,2014-07-02,1185.5,639.67,1855.48,1458.17
429,2014-07-01,1184.55,639.67,1852.88,1458.17
430,2014-06-30,1184.55,639.67,1852.88,1458.17
431,2014-06-27,1185.05,641.84,1852.88,1458.17
432,2014-06-26,1186.34,641.84,1857.03,1455.73
433,2014-06-25,1186.0699,639.67,1856.04,1458.17
434,2014-06-24,1185.36,639.67,1856.04,1455.73
435,2014-06-23,1183.36,639.67,1851.89,1455.73
436,2014-06-20,1183.5601,639.67,1852.3101,1455.73
437,2014-06-19,1172.48,596.32,1851.73,1453.28
438,2014-06-18,1172.98,598.49,1851.73,1453.28
439,2014-06-17,1172.9,598.49,1851.5601,1453.28
440,2014-06-16,1172.98,598.49,1851.73,1453.28
441,2014-06-13,1173.1899,596.32,1851.73,1455.73
442,2014-06-12,1176.34,609.85,1851.73,1455.73
443,2014-06-11,1173.1899,596.32,1851.73,1455.73
444,2014-06-10,1174.4399,596.32,1854.3199,1455.73
445,2014-06-09,1174.4399,596.32,1854.3199,1455.73
446,2014-06-06,1161.15,596.32,1826.74,1455.73
447,2014-06-05,1161.15,596.32,1826.74,1455.73
448,2014-06-04,1163.4,596.32,1832.89,1453.28
449,2014-06-03,1164.04,596.32,1832.73,1455.73
450,2014-06-02,1164.04,596.32,1832.73,1455.73
451,2014-05-30,1174.53,641.41,1832.73,1455.73
452,2014-05-29,1173.8101,641.41,1832.73,1453.28
453,2014-05-28,1175.78,641.41,1835.3199,1455.73
454,2014-05-27,1175.0601,641.41,1835.3199,1453.28
455,2014-05-26,1175.78,641.41,1835.3199,1455.73
456,2014-05-23,1176.49,641.41,1835.3199,1458.17
457,2014-05-22,1175.78,641.41,1835.3199,1455.73
458,2014-05-21,1177.5,645.75,1835.3199,1458.17
459,2014-05-20,1175.03,643.58,1832.73,1455.73
460,2014-05-19,1174.09,643.58,1830.71,1455.73
461,2014-05-16,1171.61,643.58,1824.14,14.58
462,2014-05-15,1171.61,643.58,1824.14,1458.17
463,2014-05-14,1171.1,641.41,1824.14,1458.17
464,2014-05-13,1170.85,641.41,1823.62,1458.17
465,2014-05-12,1171.5699,641.41,1823.62,1460.74
466,2014-05-09,1172.0699,643.58,1823.62,1460.74
467,2014-05-08,1172.0699,643.58,1823.62,1460.74
468,2014-05-07,1172.0699,643.58,1823.62,1460.74
469,2014-05-06,1171.36,643.58,1823.62,1458.29
470,2014-05-05,1172.0699,643.58,1823.62,1460.74
471,2014-05-02,1171.36,643.58,1823.62,1458.29
472,2014-04-30,1171.36,643.58,1823.62,1458.29
473,2014-04-29,1171.64,643.58,1824.2,1458.29
474,2014-04-28,1170.92,643.58,1824.2,1455.85
475,2014-04-25,1171.36,643.58,1823.62,1458.29
476,2014-04-24,1171.36,643.58,1823.62,1458.29
477,2014-04-23,1171.36,643.58,1823.62,1458.29
478,2014-04-22,1170.77,641.41,1823.46,1458.29
479,2014-04-21,1173.74,641.41,1829.62,1458.29
480,2014-04-17,1169.49,641.41,1820.79,1458.29
481,2014-04-16,1169.49,641.41,1820.79,1458.29
482,2014-04-15,1169.49,641.41,1820.79,1458.29
483,2014-04-14,1170.1899,644.41,1820.79,1458.29
484,2014-04-11,1167.9399,646.58,1817.83,1453.4
485,2014-04-10,1169.9399,646.58,1817.76,1460.74
486,2014-04-09,1171.38,646.58,1817.76,1465.62
487,2014-04-08,1171.38,646.58,1817.76,1465.62
